Date,TAMSAT,ARC2,RFE2,CHIRPS,TRMM
2003-12-16,0,0,0,0,0
2003-12-17,0,0,0,0,0
2003-12-18,0,0,0,0,0
2003-12-19,0,0,0,0,0
2003-12-20,0,0,0,0,0
2003-12-21,0,0,0,0,0
2003-12-22,0,0,0,0,0
2003-12-23,0,0,0,0,0
2003-12-24,0,0,0,0,0
2003-12-25,0,0,0,0,0
2003-12-26,0,0,0,0,0
2003-12-27,0,0,0,0,0
2003-12-28,0,0,0,0,0
2003-12-29,0,0,0,0,0
2003-12-30,0,0,0,0,0
2003-12-31,0,NA,0,0,0
2004-01-01,0,0,0,0,0
2004-01-02,0,0,0,0,0
2004-01-03,0,0,0,0,0
2004-01-04,0,0,0,0,0
2004-01-05,0,0,0,0,0
2004-01-06,0,0,0,0,0
2004-01-07,0,0,0,0,0
2004-01-08,0,0,0,0,0
2004-01-09,0,0,0,0,0
2004-01-10,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-12,0,0,0,0,0
2004-01-13,0.9,12.85518,2.623878,0,3.85292
2004-01-14,0,0,0,0,1.487092
2004-01-15,0,0,0,0,0
2004-01-16,0,0,0,0,0
2004-01-17,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-19,0,0,0,0,0
2004-01-20,0,0,0,0,0
2004-01-21,0,0,0,0,0
2004-01-22,0,0,0,0,0
2004-01-23,0,0,0.6327463,0,0
2004-01-24,1,3.869327,3.287789,1.671745,16.29042
2004-01-25,0,0,0,0,0
2004-01-26,0,NA,0,0,0
2004-01-27,0,NA,0,0,0
2004-01-28,0,0,0,0,0
2004-01-29,0,0,0,0,0
2004-01-30,0,0,0,0,0
2004-01-31,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-02,0,0,0,0,0
2004-02-03,0,0,0,0,0
2004-02-04,0,0,0,0,0
2004-02-05,0,0,0,0,0
2004-02-06,0,0,0,0,0
2004-02-07,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-09,0,0,0,0,0
2004-02-10,0,0,0,0,0
2004-02-11,0,0,0,0,0
2004-02-12,0,0,0,0,0
2004-02-13,0,0,0,0,0
2004-02-14,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-16,0,0,0,0,0
2004-02-17,0,0,0,0,0
2004-02-18,0,0,0,0,0
2004-02-19,0,0,0,0,0
2004-02-20,0,0,0,0,0
2004-02-21,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-23,0,0,0,0,0
2004-02-24,0,0,0,0,0
2004-02-25,0,0,0,0,0
2004-02-26,0,0,0,0,0
2004-02-27,0,0,0,0,0
2004-02-28,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-03-02,0,0,0,0,0
2004-03-03,0,0,0,0,0
2004-03-04,0,0,0,0,0
2004-03-05,0,0,0,0,0
2004-03-06,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-08,0,0,0,0,0
2004-03-09,0,0,0,0,0
2004-03-10,0,0,0,0.004235597,0
2004-03-11,0,0,0,0,0
2004-03-12,0,0,0,0,0
2004-03-13,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-15,0,0,0,0,0
2004-03-16,0,0,0,0,0
2004-03-17,0,0,5.851324,0,0
2004-03-18,0,0,0,0,0
2004-03-19,0,0,0,0,0
2004-03-20,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-22,0,0,0,0,0
2004-03-23,0,0,0,0,0
2004-03-24,0,0,0,0,0
2004-03-25,0,0,0,0,0
2004-03-26,0,0,0,0,0
2004-03-27,0,0,0,0,0
2004-03-28,0,0,0,0.09209921,0
2004-03-29,0,0,0,0,0
2004-03-30,0,0,0,0,0
2004-03-31,0,0,8.039842,2.516644,0
2004-04-01,0,0,0,3.811779,1.902264
2004-04-02,0,0,0,0,0
2004-04-03,0,0,2.792954,0,11.71198
2004-04-04,0,0,1.181914,4.312871,4.140221
2004-04-05,39.3,14.42623,20.36131,14.48783,33.08447
2004-04-06,0,0,2.302298,9.089258,4.140221
2004-04-07,15.2,10.9736,9.332047,11.39634,0
2004-04-08,0,0,0.2602362,0,0
2004-04-09,0,0,0,0,0
2004-04-10,0,0,0,0,0
2004-04-11,0,0,0,0,0
2004-04-12,0,0,0,0,0
2004-04-13,0,0,0,0,0
2004-04-14,0,0,0,0,0
2004-04-15,8.9,0,1.390095,0,0
2004-04-16,0,0,0,0,0
2004-04-17,0,0,0,0,0
2004-04-18,0,0,0,0,4.737009
2004-04-19,10.9,44.4255,17.84496,12.92672,20.06702
2004-04-20,9.8,6.261337,5.624995,22.76424,15.6284
